"DO NOT","EDIT","THIS","ROW","29","227","197","25","20","189","326","24","314","230","21","240","38","23","229","351","28","33","335","126","251","44","22","30","283","291","16","41","36","204","146","232","37","42","18","206","19","292","39"
"Brand ID","Phone ID","Serial No.","Phone Name","audio jack","Back Camera","Back glass","back panel","Battery","Battery","Cabinet","cabinet or frame","Camera","Camera Glass","charge port","Components","dead phone diagnosis","ear speaker","Fingerprint Sensor","Frame","front camera","home button","Keyboard","Laptop Diagnosis","Laptop Service","logic board","loud speaker","microphone","Motherboard Repair","Network","others","phone diagnosis","phone servicing","Power Button","Rear Camera","Sensor","software diagnosis","standby phone","touch and lcd","Touch screen","touch screen / glass","Volume key","water diagnosis"
"28","565","1","One","900.00","Null","Null","Null","1330.00","Null","Null","Null","Null","Null","900.00","Null","149.00","840.00","Null","Null","Null","Null","Null","Null","Null","Null","980.00","720.00","Null","Null","Null","149.00","500.00","Null","Null","Null","499.00","200.00","2999.00","Null","1899.00","Null","149.00"
"28","566","2","Two","1380.00","Null","Null","Null","1750.00","Null","Null","Null","Null","Null","1500.00","Null","149.00","1320.00","Null","Null","Null","Null","Null","Null","Null","Null","1540.00","1200.00","Null","Null","Null","149.00","500.00","Null","Null","Null","499.00","200.00","2999.00","Null","1899.00","Null","149.00"
"28","567","3","X","900.00","Null","Null","Null","1800.00","Null","Null","Null","Null","Null","1500.00","Null","149.00","840.00","Null","Null","Null","Null","Null","Null","Null","Null","980.00","720.00","Null","Null","Null","149.00","500.00","Null","Null","Null","299.00","200.00","4699.00","Null","2199.00","Null","149.00"
"28","568","4","Others","Null","Null","Null","Null","Null","Null","Null","Null","Null","Null","Null","Null","149.00","Null","Null","Null","Null","Null","Null","Null","Null","Null","Null","Null","Null","Null","Null","149.00","500.00","Null","Null","Null","299.00","200.00","Null","Null","Null","Null","149.00"
"28","569","5","Three","1380.00","Null","Null","Null","1750.00","Null","Null","Null","Null","Null","1500.00","Null","149.00","1320.00","Null","Null","Null","Null","Null","Null","Null","Null","1540.00","1200.00","Null","Null","Null","149.00","500.00","Null","Null","Null","299.00","200.00","4800.00","Null","2199.00","Null","149.00"
"28","570","6","Three T","1380.00","Null","Null","Null","1800.00","Null","Null","Null","Null","Null","1800.00","Null","149.00","1320.00","Null","Null","Null","Null","Null","Null","Null","Null","1540.00","1200.00","Null","Null","Null","149.00","500.00","Null","Null","Null","299.00","200.00","4699.00","Null","2199.00","Null","149.00"
"28","571","7","Five","1380.00","Null","Null","Null","2650.00","Null","Null","Null","Null","Null","2450.00","Null","300.00","1540.00","1900.00","Null","Null","Null","Null","Null","Null","Null","1540.00","1200.00","Null","Null","Null","300.00","2000.00","Null","Null","Null","1500.00","Null","6199.00","Null","2999.00","Null","300.00"
"28","572","8","Five T","1380.00","Null","Null","2500.00","2650.00","Null","Null","Null","Null","Null","1450.00","Null","300.00","1540.00","Null","Null","Null","Null","Null","Null","Null","Null","1540.00","1200.00","Null","Null","Null","300.00","500.00","Null","Null","Null","1500.00","Null","6199.00","Null","2999.00","Null","300.00"
"28","573","9","Six","2999.00","Null","Null","2800.00","3500.00","Null","Null","Null","Null","Null","2500.00","Null","500.00","1850.00","Null","Null","Null","Null","Null","Null","Null","Null","2250.00","2850.00","Null","Null","Null","500.00","2000.00","Null","Null","Null","1500.00","Null","6950.00","Null","4200.00","Null","500.00"
"28","574","10","SIX T","Null","Null","Null","3150.00","4500.00","Null","Null","Null","Null","Null","2500.00","Null","500.00","1850.00","Null","Null","Null","Null","Null","Null","Null","Null","2250.00","2850.00","Null","Null","Null","500.00","2000.00","Null","Null","Null","1500.00","Null","6880.00","Null","6880.00","Null","500.00"
"28","1487","11","Seven","Null","Null","Null","3850.00","5500.00","Null","Null","Null","Null","Null","4199.00","Null","500.00","1850.00","Null","Null","Null","Null","Null","Null","Null","Null","2250.00","2850.00","Null","Null","Null","500.00","2000.00","Null","Null","Null","Null","Null","8640.00","Null","8640.00","Null","500.00"
"28","1488","12","Seven Pro","Null","Null","Null","4850.00","6500.00","Null","Null","Null","Null","Null","4999.00","Null","500.00","1850.00","Null","Null","Null","Null","Null","Null","Null","Null","2250.00","2850.00","Null","Null","Null","500.00","2000.00","Null","Null","Null","Null","Null","16999.00","Null","16999.00","Null","500.00"
"28","1603","13","Seven T Pro","Null","Null","Null","5850.00","6999.00","Null","Null","Null","Null","Null","4999.00","Null","500.00","1850.00","Null","Null","Null","Null","Null","Null","Null","Null","2250.00","2850.00","Null","Null","Null","500.00","2000.00","Null","Null","Null","Null","Null","22999.00","Null","22999.00","Null","500.00"
"28","1645","14","Seven T","Null","Null","Null","4500.00","6500.00","Null","Null","Null","Null","Null","5500.00","Null","999.00","1850.00","Null","Null","Null","Null","Null","Null","Null","Null","2250.00","2850.00","Null","Null","Null","500.00","3999.00","Null","Null","Null","2199.00","Null","12000.00","Null","12000.00","Null","999.00"
"28","1733","15","Eight","Null","Null","Null","4500.00","3200.00","Null","Null","Null","Null","Null","3250.00","Null","999.00","1850.00","Null","Null","Null","Null","Null","Null","Null","Null","2250.00","2850.00","Null","Null","Null","599.00","1599.00","Null","Null","Null","Null","Null","16999.00","Null","16999.00","Null","499.00"
"28","2105","16","Nord","Null","Null","Null","3200.00","2800.00","Null","Null","Null","Null","Null","2250.00","Null","599.00","1850.00","Null","Null","Null","Null","Null","Null","Null","Null","2250.00","2850.00","Null","Null","Null","599.00","1599.00","Null","Null","Null","999.00","Null","13999.00","Null","13999.00","Null","499.00"
"28","2146","17","Nord 2","Null","Null","Null","3850.00","2650.00","Null","Null","Null","Null","Null","3650.00","Null","599.00","1850.00","Null","Null","Null","Null","Null","Null","Null","Null","2250.00","2850.00","Null","Null","Null","599.00","1599.00","Null","Null","Null","999.00","Null","7950.00","Null","7950.00","Null","499.00"
"28","2147","18","8 Pro","Null","Null","Null","4680.00","3100.00","Null","Null","Null","Null","Null","3650.00","Null","599.00","1850.00","Null","Null","Null","Null","Null","Null","Null","Null","2250.00","2850.00","Null","Null","Null","599.00","1599.00","Null","Null","Null","999.00","Null","16300.00","Null","16300.00","Null","499.00"
"28","2148","19","8T","Null","Null","Null","5800.00","3100.00","Null","Null","Null","Null","Null","3650.00","Null","599.00","1850.00","Null","Null","Null","Null","Null","Null","Null","Null","2250.00","2850.00","Null","Null","Null","599.00","1599.00","Null","Null","Null","999.00","Null","13700.00","Null","13700.00","Null","499.00"
"28","2149","20","9","Null","Null","Null","3200.00","3200.00","Null","Null","Null","Null","Null","3650.00","Null","599.00","1850.00","Null","Null","Null","Null","Null","Null","Null","Null","2250.00","2850.00","Null","Null","Null","599.00","1599.00","Null","Null","Null","999.00","Null","13700.00","Null","13700.00","Null","499.00"
"28","2150","21","9R","Null","Null","Null","3600.00","3800.00","Null","Null","Null","Null","Null","3650.00","Null","599.00","1850.00","Null","Null","Null","Null","Null","Null","Null","Null","2250.00","2850.00","Null","Null","Null","599.00","1599.00","Null","Null","Null","999.00","Null","12500.00","Null","12500.00","Null","499.00"
"28","2151","22","9 Pro","Null","Null","Null","4800.00","3800.00","Null","Null","Null","Null","Null","3650.00","Null","599.00","1850.00","Null","Null","Null","Null","Null","Null","Null","Null","2250.00","2850.00","Null","Null","Null","599.00","1599.00","Null","Null","Null","999.00","Null","17600.00","Null","17600.00","Null","499.00"
